Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held
Microsoft Corporation,MSFT,59491810,2588173,5.4622,Information Technology,85115160
Apple Inc.,AAPL,3783310,2046251,4.950748,Information Technology,46599490
Amazon.com Inc.,AMZN,2313510,2000019,3.735811,Consumer Discretionary,4647285
Facebook Inc. Class A,FB,30303M10,B7TL820,1.802786,Communication Services,26848596
Berkshire Hathaway Inc. Class B,BRK.B,8467070,2073390,1.6498,Financials,21823256
Alphabet Inc. Class A,GOOGL,02079K30,BYVY8G0,1.598095,Communication Services,3342895
Alphabet Inc. Class C,GOOG,02079K10,BYY88Y7,1.592512,Communication Services,3334572
Johnson & Johnson,JNJ,47816010,2475833,1.527802,Health Care,29363400
JPMorgan Chase & Co.,JPM,46625H10,2190385,1.412088,Financials,35008570
Visa Inc. Class A,V,92826C83,B2PZN04,1.326508,Information Technology,19107404
Procter & Gamble Company,PG,74271810,2704407,1.228457,Consumer Staples,27829570
UnitedHealth Group Incorporated,UNH,91324P10,2917766,1.110072,Health Care,10573467
Intel Corporation,INTC,45814010,2463247,1.108501,Information Technology,48551240
Mastercard Incorporated Class A,MA,57636Q10,B121557,1.071758,Information Technology,9906359
AT&T Inc.,T,00206R10,2831811,1.025614,Communication Services,81532800
Verizon Communications Inc.,VZ,92343V10,2090571,1.015857,Communication Services,46155604
Home Depot Inc.,HD,43707610,2434209,0.977031,Consumer Discretionary,12175202
Walt Disney Company,DIS,25468710,2270726,0.871173,Communication Services,20114016
Merck & Co. Inc.,MRK,58933Y10,2778844,0.858787,Health Care,28411276
Bank of America Corp,BAC,6050510,2295677,0.843911,Financials,90356290
Pfizer Inc.,PFE,71708110,2684703,0.806037,Health Care,61756336
Cisco Systems Inc.,CSCO,17275R10,2198163,0.789719,Information Technology,47340264
Coca-Cola Company,KO,19121610,2206657,0.783483,Consumer Staples,43032240
PepsiCo Inc.,PEP,71344810,2681511,0.769552,Consumer Staples,15566356
Comcast Corporation Class A,CMCSA,20030N10,2044545,0.765141,Communication Services,50660816
Exxon Mobil Corporation,XOM,30231G10,2326618,0.753532,Energy,47218956
Netflix Inc.,NFLX,64110L10,2857817,0.729722,Communication Services,4890268
NVIDIA Corporation,NVDA,67066G10,2379504,0.722036,Information Technology,6827949
Adobe Inc.,ADBE,00724F10,2008154,0.716657,Information Technology,5402845
Walmart Inc.,WMT,93114210,2936921,0.714799,Consumer Staples,15833333
Chevron Corporation,CVX,16676410,2838555,0.662666,Energy,21104986
salesforce.com inc.,CRM,79466L30,2310525,0.629464,Information Technology,9896157
Abbott Laboratories,ABT,282410,2002305,0.614513,Health Care,19718548
Costco Wholesale Corporation,COST,22160K10,2701271,0.592259,Consumer Staples,4928934
McDonald's Corporation,MCD,58013510,2550707,0.578748,Consumer Discretionary,8412668
Medtronic Plc,MDT,G5960L10,BTN1Y11,0.565917,Health Care,14973329
Bristol-Myers Squibb Company,BMY,11012210,2126335,0.561756,Health Care,26153612
Wells Fargo & Company,WFC,94974610,2649100,0.546127,Financials,42993704
PayPal Holdings Inc,PYPL,70450Y10,BYW36M8,0.541795,Information Technology,13097178
Amgen Inc.,AMGN,3116210,2023607,0.540918,Health Care,6629228
Eli Lilly and Company,LLY,53245710,2516152,0.520951,Health Care,9432547
Thermo Fisher Scientific Inc.,TMO,88355610,2886907,0.520735,Health Care,4473736
NextEra Energy Inc.,NEE,65339F10,2328915,0.518705,Utilities,5459969
Philip Morris International Inc.,PM,71817210,B2PKRQ3,0.508434,Consumer Staples,17380770
Oracle Corporation,ORCL,68389X10,2661568,0.502237,Information Technology,24202436
AbbVie Inc.,ABBV,00287Y10,B92SR70,0.501394,Health Care,16520253
Accenture Plc Class A,ACN,G1151C10,B4BNMY3,0.499461,Information Technology,7091092
NIKE Inc. Class B,NKE,65410610,2640147,0.481949,Consumer Discretionary,13907328
Texas Instruments Incorporated,TXN,88250810,2885409,0.46257,Information Technology,10442161
Citigroup Inc.,C,17296742,2297907,0.461397,Financials,24389242
International Business Machines Corporation,IBM,45920010,2005973,0.459141,Information Technology,9893747
Union Pacific Corporation,UNP,90781810,2914734,0.454267,Industrials,7755271
American Tower Corporation,AMT,03027X10,B7FBFL2,0.452017,Real Estate,4948585
Honeywell International Inc.,HON,43851610,2020459,0.450809,Industrials,7981343
Boeing Company,BA,9702310,2108601,0.443321,Industrials,5972973
Broadcom Inc.,AVGO,11135F10,BDZ78H9,0.442926,Information Technology,4430893
Linde plc,LIN,G5494J10,BZ12WP8,0.429351,Materials,5995974
Gilead Sciences Inc.,GILD,37555810,2369174,0.428081,Health Care,14098942
Danaher Corporation,DHR,23585110,2250870,0.407089,Health Care,7141810
Lockheed Martin Corporation,LMT,53983010,2522096,0.398318,Industrials,2765812
United Technologies Corporation,UTX,91301710,2915500,0.389874,Industrials,9063517
Starbucks Corporation,SBUX,85524410,2842255,0.379107,Consumer Discretionary,13193348
QUALCOMM Incorporated,QCOM,74752510,2714923,0.360742,Information Technology,12721665
3M Company,MMM,88579Y10,2595708,0.358783,Industrials,6408974
